comparison_type,embedding,baseline,accuracy,f1_macro,f1_weighted,diff_count,total_cells
original_vs_baseline,X_pca_harmony,X_pca,0.446974358974359,0.3264831713077873,0.45529514912312957,431360,780000
original_vs_baseline,X_scanorama,X_pca,0.30877820512820514,0.13565983343437965,0.32314507244202245,539153,780000
original_vs_baseline,X_scetm,X_pca,0.1656679487179487,0.05600971555018353,0.1543861885469499,650779,780000
original_vs_baseline,X_scvi,X_pca,0.28007692307692306,0.12539198409623972,0.30192554528571586,561540,780000
harmonized_vs_baseline,harmonized_X_pca,X_pca,0.2357602564102564,0.14257241872566762,0.2518355716759746,596107,780000
